town,age_group,males_white_non_hispanic,males_black,males_am_indian,males_pac_islander,males_hispanic,females_white_non_hispanic,females_black,females_am_indian,females_pac_islander,females_hispanic
,60--64,101,0,0,0,2,101,0,0,1,0
,65--69,84,0,0,2,0,76,0,0,0,0
,70--74,68,0,0,0,0,75,0,0,2,0
,75--79,49,0,0,0,0,67,1,0,1,0
,80--84,30,0,0,0,0,42,0,0,0,0
,85+,19,0,0,0,0,25,0,0,0,0
Cornwall,0--4,30,1,0,1,1,35,0,0,0,1
,5--9,53,1,2,4,1,45,0,0,0,2
,10--14,60,0,0,0,3,57,0,0,2,1
,15--19,38,0,0,0,1,30,0,0,0,1
,20--24,15,0,0,0,0,18,1,0,0,0
,25--29,19,0,0,0,0,17,0,0,0,1
,30--34,33,0,0,0,1,38,0,0,3,0
,35--39,43,1,0,0,0,57,0,0,1,0
,40--44,78,0,0,1,2,69,0,0,2,1
,45--49,59,0,0,0,1,74,0,0,0,1
,50--54,71,0,0,0,0,55,0,0,0,0
,55--59,38,0,0,0,1,41,0,0,0,1
,60--64,30,0,0,0,0,43,0,0,0,0
,65--69,40,0,0,0,0,39,0,0,0,0
,70--74,29,0,0,0,0,31,0,0,0,1
,75--79,17,0,0,0,0,27,0,0,0,0
,80--84,13,0,0,0,1,22,0,0,0,0
,85+,10,0,0,0,0,20,0,0,0,0
Coventry,0--4,401,7,0,4,13,373,1,1,4,13
,5--9,429,4,0,2,7,378,1,0,1,13
,10--14,459,6,1,0,10,457,2,2,3,15
,15--19,337,2,0,4,10,321,4,0,0,10
,20--24,277,1,1,10,2,198,2,0,3,8
,25--29,271,2,0,3,5,281,3,1,4,6
,30--34,448,1,2,2,7,475,2,0,3,12
,35--39,593,4,2,2,13,572,3,0,5,7
,40--44,543,3,2,4,3,551,2,2,1,8
,45--49,489,4,0,2,4,497,4,0,1,7
,50--54,435,3,0,3,6,408,4,1,3,3
,55--59,328,2,0,0,2,305,0,2,2,1
,60--64,197,1,2,1,2,160,2,0,2,4
,65--69,152,1,1,1,1,156,0,0,0,1
,70--74,110,1,0,0,1,132,0,2,2,2
,75--79,93,0,0,0,1,95,0,0,0,0
,80--84,54,0,0,1,0,86,0,0,0,0
,85+,28,0,0,0,0,73,0,0,0,0
Cromwell,0--4,307,14,0,8,29,293,21,0,7,19
,5--9,329,7,0,5,15,345,15,0,2,19
,10--14,378,27,0,4,22,364,18,1,8,27
,15--19,333,24,0,4,17,311,17,0,5,18
,20--24,211,10,0,4,18,194,6,0,4,9
,25--29,349,13,0,9,16,362,7,0,5,16
,30--34,461,28,1,8,23,441,20,1,15,13
,35--39,498,20,0,13,28,513,24,1,4,25
,40--44,568,14,0,9,11,534,20,2,4,12
,45--49,499,17,1,7,14,562,19,3,5,13
,50--54,480,19,2,7,9,432,23,0,8,7
,55--59,296,7,0,1,5,343,7,0,6,5
,60--64,235,6,0,3,2,229,6,1,7,4
,65--69,178,3,0,6,0,247,2,0,3,4
,70--74,181,1,0,2,6,227,5,0,1,3
,75--79,157,2,0,0,0,278,0,0,1,1
,80--84,151,0,0,0,0,226,5,0,2,1
,85+,100,0,0,1,0,299,2,0,2,0
Danbury,0--4,1539,206,10,218,548,1514,171,12,161,502
,5--9,1447,207,1,177,417,1407,225,5,178,459
,10--14,1329,222,6,161,427,1391,238,10,170,353
,15--19,1441,188,6,180,584,1377,187,4,174,457
,20--24,1758,199,5,154,881,1689,237,4,164,580
,25--29,1928,136,3,250,847,1949,257,8,240,592
,30--34,2355,180,7,261,777,2318,285,10,238,630
,35--39,2466,202,10,220,611,2379,324,19,216,535
,40--44,2215,192,5,222,485,2227,274,10,181,443
,45--49,2010,168,5,159,314,2082,190,13,163,319
,50--54,1797,115,9,126,192,1956,157,7,101,232
,55--59,1454,104,2,63,125,1550,125,2,77,132
,60--64,1054,77,4,47,71,1151,106,4,48,103
,65--69,890,48,1,34,55,1014,42,2,42,79
,70--74,737,21,1,32,39,984,40,1,34,53
,75--79,597,25,1,14,25,922,36,0,22,30
,80--84,418,14,0,10,15,774,21,0,8,18
,85+,268,6,0,4,7,835,17,0,8,8
Darien,0--4,1021,2,0,31,21,894,3,0,28,18
,5--9,981,4,0,34,23,952,2,1,28,24
,10--14,804,2,0,22,14,698,4,1,27,16
,15--19,475,1,0,14,16,403,6,1,13,11
,20--24,152,3,1,7,3,173,5,0,3,7
,25--29,223,0,2,9,10,225,3,0,8,11
,30--34,512,2,0,13,15,653,4,0,27,16
,35--39,838,2,0,32,24,912,6,1,46,26
,40--44,872,3,0,22,21,926,6,2,35,19
,45--49,721,3,0,25,19,742,8,1,27,21
,50--54,584,4,0,17,6,647,4,0,9,18
,55--59,578,1,1,14,13,534,2,0,6,7
,60--64,363,1,0,6,6,335,1,0,7,7
,65--69,269,1,0,2,6,305,2,0,2,12
,70--74,275,0,0,4,2,333,5,0,3,8
,75--79,249,0,0,1,1,278,1,0,1,4
,80--84,144,0,0,0,2,226,7,0,1,2
,85+,89,0,0,0,2,201,4,0,0,1
Deep River,0--4,100,6,0,3,7,120,2,0,2,5
,5--9,161,3,1,1,5,152,3,0,1,6
,10--14,137,16,0,1,11,156,5,0,3,6
,15--19,130,35,0,3,19,115,2,0,1,5
,20--24,64,4,0,3,7,75,1,0,2,1
,25--29,122,0,0,1,4,102,5,0,5,7
,30--34,169,2,0,1,4,188,2,0,2,7
,35--39,168,5,0,1,7,189,3,0,1,7
,40--44,194,3,0,0,5,200,2,0,1,1
,45--49,211,2,0,2,3,197,2,0,1,1
,50--54,174,0,0,0,3,165,2,0,2,2
,55--59,138,1,0,4,2,117,5,0,0,3
,60--64,89,4,0,0,0,91,0,0,0,2
,65--69,76,1,0,1,0,87,0,0,1,3
,70--74,72,1,0,0,2,82,2,0,0,0
,75--79,51,0,0,0,0,68,0,1,0,0
,80--84,37,0,0,0,0,61,1,0,2,1
,85+,20,0,0,0,0,45,0,0,0,0
Derby,0--4,288,31,0,18,58,259,36,1,11,53
,5--9,325,26,1,3,59,287,26,0,8,58
,10--14,307,22,0,8,53,291,15,0,4,32
,15--19,268,20,3,4,37,231,24,0,4,27
,20--24,249,17,3,15,44,294,14,2,12,53
,25--29,389,18,1,23,51,384,23,0,12,47
,30--34,435,29,0,23,54,399,15,0,22,44
,35--39,483,13,1,10,56,486,20,0,9,46
,40--44,447,13,1,3,26,405,30,2,8,36
,45--49,347,17,0,4,26,368,16,0,6,15
,50--54,325,10,0,5,13,371,11,0,2,14
,55--59,273,5,0,1,7,313,8,0,3,9
,60--64,217,5,1,1,6,260,5,1,3,7
,65--69,202,4,0,1,6,229,3,0,3,4
,70--74,173,2,0,0,3,277,1,0,1,1
,75--79,195,1,0,0,0,288,3,0,0,4
,80--84,133,2,0,0,0,240,1,0,0,1
,85+,74,0,0,0,1,204,2,0,1,1
Durham,0--4,231,1,0,1,8,208,1,1,2,3
,5--9,261,2,1,8,9,266,0,0,3,4
,10--14,301,16,1,4,15,246,7,1,1,7
,15--19,214,18,0,2,14,172,6,1,3,8
,20--24,111,1,0,0,2,98,0,0,0,1
,25--29,99,1,1,0,1,130,2,0,1,1
,30--34,199,3,0,8,2,205,0,1,5,4
,35--39,274,2,0,5,3,341,0,1,4,4
,40--44,344,2,1,1,1,298,0,0,2,4
,45--49,304,2,0,1,2,304,0,1,4,2
,50--54,277,1,1,1,2,292,1,0,1,4
,55--59,199,1,2,3,2,186,1,0,3,0
,60--64,122,0,0,0,0,117,0,0,1,0
,65--69,88,0,0,0,0,92,1,0,0,1
,70--74,84,0,0,0,0,88,0,0,0,0
,75--79,38,1,0,0,0,72,2,0,0,0
,80--84,32,0,0,0,0,54,0,0,0,1
,85+,17,0,0,0,0,56,0,0,0,0
Eastford,0--4,51,0,0,1,1,40,0,0,1,2
,5--9,63,1,0,0,1,63,0,0,1,3
,10--14,64,0,0,0,2,50,0,0,0,2
,15--19,56,0,0,0,2,55,0,0,0,1
,20--24,30,1,0,0,0,27,0,0,0,0
,25--29,35,0,2,0,0,23,0,0,1,1
,30--34,49,0,0,0,1,55,0,0,0,0
,35--39,72,0,0,0,1,69,1,0,0,1
,40--44,74,0,1,0,2,83,0,0,1,0
,45--49,73,1,0,0,1,59,1,0,1,0
,50--54,59,0,0,0,0,64,0,0,0,1
,55--59,39,0,0,0,0,45,2,0,1,0
,60--64,37,0,0,0,0,29,0,0,0,0
,65--69,32,0,0,0,0,24,0,0,0,0
,70--74,24,0,0,0,0,36,0,0,0,0
,75--79,21,0,0,0,0,23,0,0,0,0
,80--84,18,0,0,0,0,13,0,0,0,0
,85+,6,0,0,0,0,20,0,0,0,0
East Granby,0--4,144,5,0,1,5,160,3,0,0,5
,5--9,173,7,0,2,4,150,5,0,6,3
,10--14,186,4,0,4,3,172,4,0,4,9
,15--19,118,7,0,0,5,123,2,0,5,3
,20--24,57,1,0,3,4,75,1,0,1,3
,25--29,94,2,0,3,4,93,1,0,3,3
,30--34,177,2,0,1,1,147,2,0,1,5
,35--39,206,6,0,3,2,219,4,0,2,2
,40--44,216,2,1,2,1,247,4,0,3,3
,45--49,204,4,1,2,0,178,3,0,1,0
,50--54,172,1,1,3,2,170,1,1,2,4
,55--59,132,3,0,0,2,152,2,0,0,2
,60--64,127,1,0,0,1,120,3,0,0,0
,65--69,79,0,0,0,0,83,0,0,1,0
,70--74,55,0,0,0,0,67,0,0,0,0
,75--79,58,0,0,0,0,73,1,0,2,0
,80--84,35,0,0,0,0,44,0,0,0,0
,85+,12,0,0,0,0,31,0,0,0,0
East Haddam,0--4,291,3,0,2,7,268,3,1,1,1
,5--9,304,3,0,3,2,293,3,1,0,4
,10--14,307,11,2,2,10,256,5,0,1,5
,15--19,232,19,3,2,13,214,1,0,1,2
,20--24,141,1,0,3,2,114,3,2,3,1
,25--29,152,0,0,0,3,200,3,1,4,3
,30--34,333,2,1,2,0,359,0,1,1,2
,35--39,415,3,2,1,2,420,2,0,0,5
,40--44,420,2,1,0,3,416,4,2,1,4
,45--49,391,2,0,1,1,341,3,2,2,4
,50--54,322,3,1,0,2,305,3,0,2,1
,55--59,247,1,0,0,0,227,0,0,3,3
,60--64,131,0,0,1,1,169,0,1,1,1
,65--69,140,0,0,2,1,111,0,0,2,0
,70--74,90,0,0,0,0,110,1,0,0,0
,75--79,66,0,0,0,1,99,0,0,0,0
,80--84,38,0,0,0,0,80,1,0,0,1
,85+,43,0,1,0,1,99,1,0,0,0
East Hampton,0--4,330,8,2,3,9,325,9,1,9,4
,5--9,413,3,1,5,3,376,5,1,6,7
,10--14,422,5,0,5,4,374,2,1,3,5
,15--19,349,6,0,4,5,345,4,1,7,4
,20--24,237,3,1,6,5,178,0,2,1,0
,25--29,219,3,2,3,3,260,2,0,5,3
,30--34,376,2,0,4,5,378,3,0,9,7
,35--39,529,4,1,5,3,568,4,1,3,9
,40--44,584,6,2,3,7,559,5,2,3,6
,45--49,493,4,1,5,3,502,3,1,5,7
,50--54,455,4,2,1,0,409,2,2,3,3
,55--59,282,2,2,2,0,256,3,0,1,2
,60--64,197,2,1,2,2,215,1,0,0,0
,65--69,153,4,1,1,1,152,1,0,1,0
,70--74,124,0,0,1,0,153,2,0,1,1
,75--79,83,3,0,0,1,109,0,0,0,2
,80--84,56,0,0,0,0,82,0,0,0,0
,85+,38,1,0,0,0,75,1,0,0,0
East Hartford,0--4,581,502,5,81,418,590,509,3,90,420
,5--9,704,539,3,79,437,664,506,6,70,430
,10--14,770,482,11,71,409,701,490,5,79,366
,15--19,722,386,5,68,324,664,368,6,66,330
,20--24,642,302,5,77,326,677,396,8,78,353
,25--29,810,361,9,133,348,728,434,6,128,374
,30--34,935,363,9,112,366,860,521,4,113,368
,35--39,1087,413,4,122,320,1086,547,6,97,362
,40--44,1244,324,9,91,227,1242,417,9,81,271
,45--49,1101,232,7,71,167,1138,289,10,82,203
,50--54,1135,194,6,53,126,1178,208,4,68,153
,55--59,957,144,2,45,102,1026,162,3,43,104
,60--64,812,95,4,33,62,884,118,1,42,68
,65--69,748,37,2,29,38,957,63,1,31,47
,70--74,771,22,2,22,23,1024,47,2,17,38
,75--79,629,23,0,8,17,991,29,1,10,24
,80--84,437,4,1,1,5,667,17,0,6,10
,85+,267,18,0,1,2,562,30,1,0,18
East Haven,0--4,724,22,1,31,58,677,19,1,32,63
,5--9,792,26,3,23,61,710,18,1,20,59
,10--14,874,13,3,20,52,857,16,2,25,54
,15--19,728,12,1,11,44,708,7,1,16,51
,20--24,603,17,2,16,72,609,8,1,18,41
,25--29,740,14,5,29,65,741,22,4,42,67
,30--34,982,24,5,44,72,1022,30,2,42,66
,35--39,1124,27,3,34,63,1131,23,2,24,54
,40--44,1069,14,2,29,47,1122,16,1,17,62
,45--49,915,15,3,16,28,982,20,2,25,30
,50--54,831,11,0,12,14,918,9,4,10,29
,55--59,618,8,0,6,12,752,5,2,12,10
,60--64,491,1,0,8,12,607,3,0,6,10
,65--69,523,0,0,5,4,590,0,0,7,7
,70--74,465,0,0,3,5,690,5,2,4,5
,75--79,431,1,0,2,5,587,3,1,0,3
,80--84,289,1,0,0,1,486,1,0,0,8
,85+,143,0,0,0,1,386,0,0,0,3
East Lyme,0--4,379,8,2,27,27,414,6,2,20,13
,5--9,516,10,3,25,20,508,12,1,38,16
,10--14,593,10,2,38,20,558,11,2,36,14
,15--19,464,22,1,12,14,417,24,1,22,28
,20--24,278,101,3,7,85,245,60,2,4,46
,25--29,324,89,3,10,60,347,78,3,10,83
,30--34,470,97,2,14,56,563,122,6,30,81
,35--39,643,88,6,35,48,763,134,4,34,66
,40--44,715,70,1,32,34,750,71,1,31,37
,45--49,686,27,2,21,15,720,24,2,18,32
,50--54,573,15,3,17,12,629,13,0,23,7
,55--59,512,3,1,8,4,531,3,0,5,5
,60--64,353,3,1,7,1,391,4,2,6,7
,65--69,272,4,1,5,2,325,5,2,8,1
,70--74,322,3,1,1,1,341,1,0,3,0
,75--79,196,2,0,4,1,265,0,0,1,1
,80--84,123,0,1,2,0,171,1,0,1,3
,85+,56,0,0,0,3,156,1,0,0,1
Easton,0--4,268,0,0,2,6,261,1,0,9,8
,5--9,294,1,0,8,5,304,1,0,9,7
,10--14,293,2,0,9,6,290,1,0,9,3
,15--19,175,0,0,6,5,179,1,1,7,6
,20--24,82,0,0,2,2,76,0,0,2,4
,25--29,91,0,0,0,4,88,1,0,5,4
,30--34,146,1,3,5,5,177,0,0,4,8
,35--39,297,0,0,6,4,369,0,0,11,8
,40--44,361,1,0,8,4,366,0,0,9,7
,45--49,313,0,0,12,3,315,2,0,7,5
,50--54,269,1,2,3,6,291,2,0,7,2
,55--59,225,2,0,2,3,211,0,0,1,3
,60--64,161,0,0,4,2,138,1,0,1,6
,65--69,128,0,0,0,0,147,1,0,1,3
,70--74,116,0,0,1,1,130,1,0,0,0
,75--79,110,0,0,2,0,120,0,0,2,0
,80--84,44,0,0,0,0,86,0,0,0,0
,85+,31,0,0,0,0,46,0,0,1,0
East Windsor,0--4,247,18,0,11,13,237,11,0,8,9
,5--9,273,23,0,9,9,235,19,0,10,10
,10--14,315,28,0,11,23,280,16,0,8,11
,15--19,225,17,3,3,10,224,19,0,6,7
,20--24,175,12,1,3,10,218,7,0,7,6
,25--29,271,12,2,12,15,253,13,0,17,3
,30--34,335,20,2,19,12,335,19,0,16,9
,35--39,418,21,4,18,9,449,22,1,11,10
,40--44,478,21,1,2,9,386,17,0,9,10
,45--49,345,11,0,6,5,328,15,2,3,4
,50--54,287,14,1,6,2,277,14,0,7,3
,55--59,253,5,0,0,3,280,8,3,5,3
,60--64,223,9,0,3,1,219,8,1,0,2
,65--69,153,6,0,2,1,186,4,0,1,2
,70--74,140,8,0,1,2,212,3,0,1,1
,75--79,117,1,0,3,0,182,1,0,2,0
,80--84,71,1,0,0,0,142,3,1,0,1
,85+,45,3,0,0,0,144,2,0,1,2
Ellington,0--4,362,8,0,16,6,398,9,2,16,7
,5--9,480,5,0,6,15,402,8,0,10,8
,10--14,494,3,0,10,15,444,9,1,3,9
,15--19,403,4,1,3,6,364,1,0,1,3
,20--24,266,1,1,3,8,294,3,0,3,4
,25--29,368,6,2,7,7,402,5,1,13,12
,30--34,503,4,0,10,13,520,8,0,14,7
,35--39,626,6,1,10,14,625,10,0,13,11
,40--44,629,6,4,10,5,628,7,3,8,9
,45--49,517,2,0,4,3,493,4,3,4,5
,50--54,425,4,3,3,2,432,2,0,1,3
,55--59,342,4,0,1,5,347,6,0,5,3
,60--64,241,2,0,1,0,217,5,0,2,0
,65--69,172,3,0,0,0,189,0,0,0,0
,70--74,152,1,0,0,2,186,0,0,2,0
,75--79,128,0,0,1,0,156,0,0,0,0
,80--84,67,2,0,0,0,99,0,0,0,1
,85+,38,0,0,0,0,73,2,0,0,0
Enfield,0--4,1163,38,2,23,56,1130,44,1,20,36
,5--9,1333,47,5,29,33,1357,43,1,23,41
,10--14,1419,58,3,33,56,1375,53,4,21,54
,15--19,1223,73,0,28,75,1145,26,1,21,34
,20--24,974,366,5,23,266,853,22,1,13,21
,25--29,1198,384,7,39,247,1073,30,4,27,30
,30--34,1505,403,7,41,220,1474,37,1,39,41
,35--39,2041,305,11,48,146,1804,49,4,46,46
,40--44,1896,214,10,34,102,1789,33,4,21,39
,45--49,1512,99,6,17,47,1328,20,2,29,18
,50--54,1166,69,4,13,27,1263,30,1,11,9
,55--59,1041,20,1,8,15,1239,16,3,17,14
,60--64,879,15,1,7,7,953,16,1,9,5
,65--69,859,18,1,4,0,989,5,0,8,10
,70--74,726,9,1,5,5,877,4,3,2,7
,75--79,499,5,0,3,3,686,6,2,7,1
,80--84,309,2,0,5,0,503,0,0,1,2
,85+,155,2,0,1,1,460,1,0,1,1
Essex,0--4,184,0,0,1,8,209,2,0,1,13
,5--9,215,1,0,2,7,178,2,0,1,7
,10--14,178,2,0,0,5,182,1,0,6,2
,15--19,137,3,0,1,2,140,0,0,2,0
,20--24,81,0,1,1,4,78,0,0,0,1
,25--29,101,0,3,2,4,121,0,0,1,1
,30--34,178,2,0,0,8,196,1,0,3,3
,35--39,274,2,0,2,4,271,3,1,1,5
,40--44,275,6,1,2,1,303,1,0,5,1
,45--49,266,1,1,1,2,269,2,0,3,4
,50--54,251,1,0,0,1,282,2,0,2,2
,55--59,209,2,0,0,2,200,0,0,0,1
,60--64,145,0,0,0,1,159,1,0,3,0
,65--69,128,0,0,0,0,140,2,0,0,1
,70--74,118,1,0,1,1,139,2,1,0,0
,75--79,102,0,0,0,0,165,0,0,1,0
,80--84,82,0,0,0,0,138,0,0,0,1
,85+,73,1,0,0,0,180,0,0,0,1
Fairfield,0--4,1973,27,1,48,71,1792,20,0,75,60
,5--9,1899,29,1,48,61,1773,35,2,53,51
,10--14,1766,34,5,56,50,1665,23,0,39,50
,15--19,1961,38,3,55,66,2059,41,0,67,62
,20--24,1499,46,1,42,52,1405,35,3,33,50
,25--29,973,12,2,22,50,1090,12,2,56,43
,30--34,1694,16,1,47,51,1856,24,0,57,80
,35--39,2167,33,4,60,66,2317,33,1,87,62
,40--44,2171,28,1,61,47,2341,29,3,65,58
,45--49,1910,21,1,36,36,2078,22,1,56,51
,50--54,1706,18,1,33,31,1833,10,0,45,28
,55--59,1381,9,1,21,19,1521,16,1,28,30
,60--64,966,14,0,17,14,1095,15,1,15,17
,65--69,900,3,0,15,18,1087,6,2,25,11
,70--74,955,3,1,7,5,1192,4,0,5,20
,75--79,798,1,0,4,8,1140,9,0,7,12
,80--84,566,2,0,4,7,995,5,1,3,7
,85+,423,0,1,0,1,1105,4,0,0,3
Farmington,0--4,600,15,0,37,19,573,16,0,50,30
,5--9,762,27,2,37,29,703,25,1,41,29
,10--14,859,19,2,40,31,762,18,2,41,29
,15--19,631,14,0,32,21,568,9,1,31,22
,20--24,341,4,1,15,11,345,11,0,21,13
,25--29,483,9,1,25,18,523,3,1,32,26
,30--34,679,12,0,37,21,743,13,3,50,35
,35--39,848,14,5,57,26,935,29,2,67,37
,40--44,989,19,4,49,21,1107,25,0,47,18
,45--49,944,14,3,35,12,1018,15,2,32,14
,50--54,823,14,0,25,8,898,17,1,24,9
,55--59,612,13,0,15,7,639,14,0,11,7
,60--64,397,5,0,20,3,448,7,0,16,3
,65--69,360,4,0,11,2,468,0,0,11,4
,70--74,365,1,0,3,0,479,2,2,10,4
,75--79,297,2,1,4,4,472,0,0,3,5
,80--84,221,0,0,2,2,372,6,0,4,3
,85+,146,0,0,1,0,406,1,0,3,1
Franklin,0--4,56,2,0,0,0,40,0,0,0,1
,5--9,56,1,0,2,3,56,1,0,0,2
,10--14,67,1,1,1,5,60,0,0,0,1
,15--19,62,4,0,0,0,57,3,0,0,1
,20--24,40,0,0,0,1,33,0,0,0,2
,25--29,46,0,0,0,0,29,0,0,0,0
,30--34,55,1,0,0,2,70,1,0,0,0
,35--39,82,0,0,0,1,79,0,1,0,0
,40--44,82,1,0,0,0,93,1,0,0,1
,45--49,97,0,0,0,1,72,0,0,0,0
,50--54,68,0,0,0,1,65,0,0,0,0
,55--59,48,0,0,0,0,59,0,0,0,0
,60--64,45,0,0,0,1,46,0,0,0,0
,65--69,37,0,0,0,0,35,0,0,0,0
,70--74,29,0,0,0,0,29,0,0,1,0
,75--79,22,0,0,1,0,29,0,0,0,0
,80--84,12,0,0,0,0,19,0,0,0,0
,85+,5,0,0,0,0,14,0,0,0,0
Glastonbury,0--4,1008,17,2,41,30,1023,17,3,53,45
,5--9,1202,27,2,39,54,1153,26,2,49,38
,10--14,1051,32,1,62,42,1076,35,0,57,45
,15--19,846,25,0,46,35,711,29,0,42,35
,20--24,330,8,1,19,33,391,16,0,25,19
,25--29,489,8,0,24,21,564,16,0,23,25
,30--34,845,15,1,21,36,1020,26,0,46,43
,35--39,1290,20,7,52,29,1399,35,2,70,41
,40--44,1365,17,4,56,26,1468,19,3,68,37
,45--49,1198,17,5,62,29,1351,26,3,59,33
,50--54,1229,14,1,48,15,1377,16,1,45,18
,55--59,931,6,0,27,14,919,8,4,27,13
,60--64,631,6,1,12,7,647,5,0,11,7
,65--69,450,2,1,9,6,522,7,0,12,5
,70--74,424,3,0,5,7,540,5,0,13,6
,75--79,351,5,1,3,2,513,1,0,12,4
,80--84,199,2,0,4,0,370,1,0,1,4
,85+,159,1,0,1,2,412,3,0,1,2
Goshen,0--4,58,0,0,0,2,79,0,0,1,0
,5--9,87,1,0,0,0,71,2,0,1,2
,10--14,97,0,2,3,2,90,2,0,0,3
,15--19,79,0,0,0,0,85,1,0,0,1
,20--24,43,0,0,1,7,38,0,0,1,3
,25--29,34,0,0,0,2,28,1,0,0,1
,30--34,63,0,1,0,2,72,0,0,0,1
,35--39,92,0,0,1,0,117,1,0,1,1
,40--44,125,0,0,1,0,133,1,0,0,1
,45--49,136,0,0,1,0,143,0,0,0,0
,50--54,127,1,1,1,0,95,1,0,2,0
,55--59,91,0,0,2,0,102,0,1,0,1
,60--64,80,0,0,1,3,71,1,0,1,1
,65--69,61,1,0,1,0,60,0,0,1,0
,70--74,54,0,0,0,0,46,0,0,0,1
,75--79,34,2,0,0,1,44,0,0,1,0
,80--84,26,0,0,0,0,38,0,0,0,0
,85+,19,0,0,1,0,22,0,0,0,0
Granby,0--4,356,2,2,3,9,324,3,0,6,11
,5--9,443,4,0,2,6,383,5,2,5,4
,10--14,388,3,0,4,9,391,1,0,2,3
,15--19,314,1,1,1,11,294,1,0,5,4
,20--24,107,2,2,1,1,96,0,0,3,3
,25--29,163,3,0,1,4,140,4,0,6,4
,30--34,292,7,2,3,8,356,2,1,4,4
,35--39,487,6,3,8,9,502,5,0,3,7
,40--44,499,4,2,2,6,564,2,2,6,1
,45--49,513,2,2,4,8,480,3,0,3,2
,50--54,406,3,1,3,1,416,2,1,5,9
,55--59,313,1,2,1,2,318,3,0,1,2
,60--64,220,0,0,0,2,174,1,1,1,2
,65--69,162,1,1,1,0,163,3,2,1,0
,70--74,134,3,0,0,1,158,1,0,0,2
,75--79,101,0,0,0,0,122,0,0,0,1
,80--84,66,0,0,0,0,98,1,0,0,1
,85+,26,0,0,0,0,94,0,0,0,0
Greenwich,0--4,1858,36,2,135,155,1703,46,1,174,155
,5--9,2183,46,5,182,178,1955,29,5,179,170
,10--14,1829,49,2,142,174,1776,35,1,136,149
,15--19,1181,45,2,88,119,1134,30,1,78,138
,20--24,647,27,2,43,124,700,30,2,41,141
,25--29,1012,38,1,49,117,1133,38,2,67,141
,30--34,1588,28,1,110,153,1799,43,1,187,196
,35--39,2119,23,6,218,224,2379,67,3,257,209
,40--44,2141,35,6,187,179,2368,57,1,200,221
,45--49,2036,29,6,153,133,2151,43,2,167,154
,50--54,1764,33,2,91,84,2083,49,0,106,129
,55--59,1648,18,0,54,56,1708,38,4,76,92
,60--64,1292,19,0,43,38,1368,29,2,54,88
,65--69,1107,14,0,34,21,1248,26,0,43,41
,70--74,1034,5,1,19,9,1235,19,0,22,34
,75--79,809,10,0,9,16,1093,24,0,2,22
,80--84,526,6,0,5,3,845,17,1,9,13
,85+,413,4,0,2,3,941,19,0,4,15
Griswold,0--4,271,7,7,5,10,293,6,3,5,16
,5--9,387,6,7,2,7,374,5,3,5,15
,10--14,398,11,6,8,15,384,5,8,5,19
,15--19,340,15,9,4,10,305,8,7,2,8
,20--24,260,7,4,2,5,253,5,3,2,0
,25--29,327,10,4,4,9,315,2,3,3,7
,30--34,384,6,5,5,5,397,7,7,5,11
,35--39,480,6,7,8,12,519,5,3,8,11
,40--44,502,11,3,4,12,487,10,3,3,9
,45--49,411,6,2,3,8,387,3,3,4,3
,50--54,363,7,7,2,6,335,8,5,4,1
,55--59,277,1,4,0,0,243,2,4,5,2
,60--64,160,3,0,0,3,161,5,2,0,3
,65--69,150,0,1,0,0,174,1,1,2,2
,70--74,134,1,0,0,1,176,0,0,0,0
,75--79,105,1,1,1,1,139,0,0,2,0
,80--84,59,0,0,0,1,119,0,0,0,0
,85+,48,1,0,0,0,103,0,0,0,0
Groton,0--4,1208,207,15,70,143,1182,169,21,72,164
,5--9,1135,164,17,67,98,1140,158,15,62,113
,10--14,993,123,19,49,102,969,120,9,44,90
,15--19,1160,134,15,38,115,778,98,15,54,102
,20--24,1701,194,19,66,160,1068,112,18,53,120
,25--29,1566,182,21,95,127,1261,142,14,89,91
,30--34,1423,140,10,82,83,1297,132,12,77,93
,35--39,1480,117,11,79,59,1266,111,12,78,61
,40--44,1261,104,10,43,47,1175,83,10,58,59
,45--49,987,54,16,34,33,1047,69,16,47,33
,50--54,933,56,5,32,20,907,51,8,37,27
,55--59,735,27,2,26,15,728,39,7,31,11
,60--64,538,25,2,23,11,625,34,3,21,12
,65--69,486,22,3,16,3,578,25,1,21,12
,70--74,459,20,2,14,2,628,23,4,15,8
,75--79,398,19,5,5,5,597,12,8,6,5
,80--84,254,6,0,1,3,426,10,0,2,4
,85+,187,7,2,4,0,512,9,1,1,3
Guilford,0--4,578,8,0,19,19,603,6,0,28,21
,5--9,711,7,0,12,29,700,1,0,20,25
,10--14,801,13,0,14,22,749,7,0,12,15
,15--19,685,10,0,6,22,620,9,0,19,19
,20--24,273,4,1,4,14,260,4,0,8,8
,25--29,272,5,2,6,12,288,4,0,10,10
,30--34,533,9,4,9,16,601,7,1,14,25
,35--39,757,21,0,26,15,872,9,0,24,25
,40--44,916,15,2,16,21,1016,4,1,23,19
,45--49,930,14,1,13,18,1032,5,1,12,22
,50--54,982,9,0,12,20,1073,9,0,20,9
,55--59,743,7,1,5,4,764,3,1,8,6
,60--64,492,5,0,7,7,463,3,0,6,4
,65--69,362,4,0,5,4,389,2,1,4,10
,70--74,307,5,0,4,4,353,3,0,1,8
,75--79,205,0,0,1,2,298,3,1,1,0
,80--84,144,0,0,0,0,219,0,0,1,4
,85+,103,1,0,0,1,286,5,0,1,1
